,number,value,params_lora_alpha,params_lr,params_r,state
0,0,17.49346923828125,32,4.059443026849585e-05,64,COMPLETE
1,1,17.641592025756836,16,3.0412467810115996e-05,128,COMPLETE
2,2,17.610477447509766,16,3.549038580222539e-05,64,COMPLETE
3,3,17.757841110229492,16,1.854683258399932e-05,128,COMPLETE
4,4,17.475881576538086,32,4.3963228407318286e-05,128,COMPLETE
5,5,17.712255477905273,8,3.271199544132669e-05,32,COMPLETE
6,6,17.67197036743164,8,3.9100190266542154e-05,32,COMPLETE
7,7,18.153247833251953,16,7.588002155686656e-06,128,COMPLETE
8,8,17.622968673706055,32,2.2311517517606446e-05,64,COMPLETE
9,9,19.148693084716797,8,4.85788888125902e-06,64,COMPLETE
10,10,17.449052810668945,32,4.89807079392102e-05,128,COMPLETE
11,11,17.447052001953125,32,4.9756009833836086e-05,128,COMPLETE
12,12,17.455078125,32,4.7983411830085026e-05,128,COMPLETE
13,13,17.449312210083008,32,4.9086797445330476e-05,128,COMPLETE
14,14,17.44766616821289,32,4.931959807856239e-05,128,COMPLETE
